"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","NATIONALITY","AGE","HEIGHT","WEIGHT"
"9","Ana Franco de la Vega","Sevilla FC","DEL","13","5","1","0","0","5","506","Spain","23","1.7","56"
"18","Mirari Uria Gabilondo","Real Sociedad","DEL","16","3","1","0","0","5","503","Spain","20","1.69","58"
"16","Ivonne Chacón","Valencia Féminas CF","DEL","16","1","0","2","0","3","482","Colombia","25","1.71","60"
"14","Carolina Férez Méndez","Levante UD","DEL","15","0","0","1","0","4","473","Spain","31","1.63","53"
"19","Eva Navarro García","Atlético de Madrid","DEL","9","3","0","0","0","5","434","Spain","22","1.61","55"
"10","Helena Torres Maiquez","Alhama CF El Pozo","DEL","15","0","0","3","0","2","429","Spain","24","1.73","66"
"11","Cecilia Marcos Nabal","Real Sociedad","DEL","10","0","0","0","0","5","389","Spain","21","0","0"
"12","Astrid Álvarez Navarro","Alhama CF El Pozo","DEL","6","0","0","1","0","4","375","Spain","30","0","0"
"9","Andrea Staskova","Atlético de Madrid","DEL","18","2","1","0","0","5","373","Czech Republic","22","1.8","65"
"17","Teresa Morató Armengol","Villarreal CF","DEL","6","0","0","0","0","5","359","Andorra","24","1.62","54"
"10","Caroline Graham Hansen","FC Barcelona","DEL","6","6","2","3","0","2","346","Noruega","28","1.74","62"
"9","Yulema Corres Somovilla","Athletic Club","DEL","8","1","1","2","0","3","345","Spain","31","1.7","68"
"7","Anna María Therese Simonss...","CD Sporting de Huelva","DEL","6","1","0","1","0","4","344","Sweden","24","0","0"
